FundID	MasterFundCode	ReportTypeID	Startdate	EndDate	InvestmentType	Rank	Symbol	StockName	Shares	MarketValue	Proportion
10142854	001044	3	2018-07-01	2018-09-30	3	1	000651	格力电器	6801000.00	273400200.00	9.0600
10142854	001044	3	2018-07-01	2018-09-30	3	2	603096	新经典	3669016.00	241971605.20	8.0200
10142854	001044	3	2018-07-01	2018-09-30	3	3	603345	安井食品	5862284.00	233436148.88	7.7300
10142854	001044	3	2018-07-01	2018-09-30	3	4	600036	招商银行	7166739.00	219947219.91	7.2900
10142854	001044	3	2018-07-01	2018-09-30	3	5	000963	华东医药	4840274.00	203194702.52	6.7300
10142854	001044	3	2018-07-01	2018-09-30	3	6	002032	苏 泊 尔	3663215.00	197740345.70	6.5500
10142854	001044	3	2018-07-01	2018-09-30	3	7	000538	云南白药	2648704.00	197540344.32	6.5500
10142854	001044	3	2018-07-01	2018-09-30	3	8	000895	双汇发展	6544943.00	171150259.45	5.6700
10142854	001044	3	2018-07-01	2018-09-30	3	9	600519	贵州茅台	190976.00	139412480.00	4.6200
10142854	001044	3	2018-07-01	2018-09-30	3	10	300251	光线传媒	17578412.00	136935829.48	4.5400
10103617	110022	3	2018-07-01	2018-09-30	3	1	600519	贵州茅台	2114732.00	1543754360.00	9.7400
10103617	110022	3	2018-07-01	2018-09-30	3	2	000858	五粮液	22601539.00	1535774575.05	9.6900
10103617	110022	3	2018-07-01	2018-09-30	3	3	000651	格力电器	31768517.00	1277094383.40	8.0600
10103617	110022	3	2018-07-01	2018-09-30	3	4	000333	美的集团	30114667.00	1266924040.69	7.9900
10103617	110022	3	2018-07-01	2018-09-30	3	5	000568	泸州老窖	24704591.00	1171645118.41	7.3900
10103617	110022	3	2018-07-01	2018-09-30	3	6	000860	顺鑫农业	23956568.00	1092419500.80	6.8900
10103617	110022	3	2018-07-01	2018-09-30	3	7	600887	伊利股份	25252421.00	648482171.28	4.0900
10103617	110022	3	2018-07-01	2018-09-30	3	8	000596	古井贡酒	7485278.00	622999687.94	3.9300
10103617	110022	3	2018-07-01	2018-09-30	3	9	600690	青岛海尔	35619866.00	588440186.32	3.7100
10103617	110022	3	2018-07-01	2018-09-30	3	10	002572	索菲亚	25435942.00	555775332.70	3.5100
