MasterFundCode	ReportTypeID	Startdate	EndDate	Rank	Symbol	StockName	Shares	MarketValue	Proportion
001044	5	2017-01-01	2017-06-30	1	000651	格力电器	4488000.00	184770960.00	9.4300
001044	5	2017-01-01	2017-06-30	2	600036	招商银行	6781200.00	162138492.00	8.2700
001044	5	2017-01-01	2017-06-30	3	000963	华东医药	3045578.00	151365226.60	7.7200
001044	5	2017-01-01	2017-06-30	4	000858	五 粮 液	2653307.00	147683067.62	7.5400
001044	5	2017-01-01	2017-06-30	5	600519	贵州茅台	276379.00	130409431.15	6.6600
001044	5	2017-01-01	2017-06-30	6	000895	双汇发展	4753036.00	112884605.00	5.7600
001044	5	2017-01-01	2017-06-30	7	002032	苏 泊 尔	2567145.00	105381302.25	5.3800
001044	5	2017-01-01	2017-06-30	8	603096	新经典	2305028.00	97687086.64	4.9900
001044	5	2017-01-01	2017-06-30	9	002572	索菲亚	2378260.00	97508660.00	4.9800
001044	5	2017-01-01	2017-06-30	10	600987	航民股份	5901847.00	76487937.12	3.9000
001044	5	2017-01-01	2017-06-30	11	600867	通化东宝	3959539.00	72221991.36	3.6900
001044	5	2017-01-01	2017-06-30	12	600276	恒瑞医药	1385706.00	70102866.54	3.5800
001044	5	2017-01-01	2017-06-30	13	601668	中国建筑	7116100.00	68883848.00	3.5200
001044	5	2017-01-01	2017-06-30	14	600872	中炬高新	3660640.00	66989712.00	3.4200
001044	5	2017-01-01	2017-06-30	15	000786	北新建材	3793800.00	60093792.00	3.0700
001044	5	2017-01-01	2017-06-30	16	002206	海 利 得	6907202.00	51320510.86	2.6200
001044	5	2017-01-01	2017-06-30	17	000568	泸州老窖	943800.00	47737404.00	2.4400
001044	5	2017-01-01	2017-06-30	18	000538	云南白药	500100.00	46934385.00	2.4000
001044	5	2017-01-01	2017-06-30	19	600056	中国医药	1655120.00	42950364.00	2.1900
001044	5	2017-01-01	2017-06-30	20	002048	宁波华翔	1538500.00	32093110.00	1.6400
001044	5	2017-01-01	2017-06-30	21	000333	美的集团	311290.00	13397921.60	.6800
001044	5	2017-01-01	2017-06-30	22	603043	广州酒家	1810.00	45738.70	.0000
001044	5	2017-01-01	2017-06-30	23	300666	江丰电子	2276.00	43448.84	.0000
001044	5	2017-01-01	2017-06-30	24	603335	迪生力	2230.00	24864.50	.0000
001044	5	2017-01-01	2017-06-30	25	002879	长缆科技	1313.00	23660.26	.0000
001044	5	2017-01-01	2017-06-30	26	002881	美格智能	989.00	22608.54	.0000
001044	5	2017-01-01	2017-06-30	27	603679	华体科技	809.00	21438.50	.0000
001044	5	2017-01-01	2017-06-30	28	603938	三孚股份	1246.00	20932.80	.0000
001044	5	2017-01-01	2017-06-30	29	002882	金龙羽	2966.00	18389.20	.0000
001044	5	2017-01-01	2017-06-30	30	603933	睿能科技	857.00	17311.40	.0000
001044	5	2017-01-01	2017-06-30	31	603305	旭升股份	1351.00	15212.26	.0000
001044	5	2017-01-01	2017-06-30	32	300669	沪宁股份	841.00	14650.22	.0000
001044	5	2017-01-01	2017-06-30	33	300670	大烨智能	1259.00	13760.87	.0000
001044	5	2017-01-01	2017-06-30	34	603286	日盈电子	890.00	13528.00	.0000
001044	5	2017-01-01	2017-06-30	35	300672	国科微	1257.00	10659.36	.0000
001044	5	2017-01-01	2017-06-30	36	603331	百达精工	999.00	9620.37	.0000
001044	5	2017-01-01	2017-06-30	37	300671	富满电子	942.00	7639.62	.0000
001044	5	2017-01-01	2017-06-30	38	603617	君禾股份	832.00	7429.76	.0000
001044	5	2017-01-01	2017-06-30	39	002311	海大集团	45.00	822.15	.0000
001044	6	2017-01-01	2017-12-31	1	000651	格力电器	3666300.00	160217310.00	9.4300
001044	6	2017-01-01	2017-12-31	2	603096	新经典	2374628.00	159741225.56	9.4000
001044	6	2017-01-01	2017-12-31	3	000858	五 粮 液	1620007.00	129406159.16	7.6200
001044	6	2017-01-01	2017-12-31	4	000963	华东医药	2243499.00	120879726.12	7.1200
001044	6	2017-01-01	2017-12-31	5	600036	招商银行	3722700.00	108032754.00	6.3600
001044	6	2017-01-01	2017-12-31	6	002032	苏 泊 尔	2480645.00	100168445.10	5.9000
001044	6	2017-01-01	2017-12-31	7	002572	索菲亚	2498160.00	91932288.00	5.4100
001044	6	2017-01-01	2017-12-31	8	603900	莱绅通灵	3118412.00	90402763.88	5.3200
001044	6	2017-01-01	2017-12-31	9	002048	宁波华翔	3629453.00	84633920.99	4.9800
001044	6	2017-01-01	2017-12-31	10	000895	双汇发展	3065123.00	81225759.50	4.7800
001044	6	2017-01-01	2017-12-31	11	300251	光线传媒	7233800.00	75593210.00	4.4500
001044	6	2017-01-01	2017-12-31	12	600987	航民股份	6367247.00	71822546.16	4.2300
001044	6	2017-01-01	2017-12-31	13	000786	北新建材	2615835.00	58856287.50	3.4700
001044	6	2017-01-01	2017-12-31	14	600519	贵州茅台	75345.00	52552384.05	3.0900
001044	6	2017-01-01	2017-12-31	15	600276	恒瑞医药	695606.00	47982901.88	2.8200
001044	6	2017-01-01	2017-12-31	16	300406	九强生物	3129100.00	46936500.00	2.7600
001044	6	2017-01-01	2017-12-31	17	600867	通化东宝	1496303.00	34250375.67	2.0200
001044	6	2017-01-01	2017-12-31	18	603027	千禾味业	1835604.00	33022515.96	1.9400
001044	6	2017-01-01	2017-12-31	19	300616	尚品宅配	91700.00	14490434.00	.8500
001044	6	2017-01-01	2017-12-31	20	600025	华能水电	94713.00	501978.90	.0300
001044	6	2017-01-01	2017-12-31	21	002916	深南电路	3068.00	267621.64	.0200
001044	6	2017-01-01	2017-12-31	22	002920	德赛西威	4569.00	178784.97	.0100
001044	6	2017-01-01	2017-12-31	23	300735	光弘科技	3764.00	54163.96	.0000
001044	6	2017-01-01	2017-12-31	24	002908	德生科技	1751.00	50638.92	.0000
001044	6	2017-01-01	2017-12-31	25	603890	春秋电子	1126.00	47438.38	.0000
001044	6	2017-01-01	2017-12-31	26	603507	振江股份	1093.00	43938.60	.0000
001044	6	2017-01-01	2017-12-31	27	603937	丽岛新材	1662.00	43610.88	.0000
001044	6	2017-01-01	2017-12-31	28	002917	金奥博	1090.00	35643.00	.0000
001044	6	2017-01-01	2017-12-31	29	300731	科创新源	808.00	30914.08	.0000
001044	6	2017-01-01	2017-12-31	30	603289	泰瑞机器	1596.00	30403.80	.0000
001044	6	2017-01-01	2017-12-31	31	300727	润禾材料	870.00	28701.30	.0000
001044	6	2017-01-01	2017-12-31	32	002907	华森制药	1479.00	27864.36	.0000
001044	6	2017-01-01	2017-12-31	33	002922	伊戈尔	1245.00	22248.15	.0000
001044	6	2017-01-01	2017-12-31	34	603283	赛腾股份	1349.00	19614.46	.0000
001044	6	2017-01-01	2017-12-31	35	603329	上海雅仕	1182.00	17942.76	.0000
001044	6	2017-01-01	2017-12-31	36	603080	新疆火炬	1187.00	16143.20	.0000
001044	6	2017-01-01	2017-12-31	37	603655	朗博科技	880.00	8184.00	.0000
001044	6	2017-01-01	2017-12-31	38	002311	海大集团	45.00	1053.00	.0000
001044	2	2017-04-01	2017-06-30	1	000651	格力电器	4488000.00	184770960.00	9.4300
001044	2	2017-04-01	2017-06-30	2	600036	招商银行	6781200.00	162138492.00	8.2700
001044	2	2017-04-01	2017-06-30	3	000963	华东医药	3045578.00	151365226.60	7.7200
001044	2	2017-04-01	2017-06-30	4	000858	五 粮 液	2653307.00	147683067.62	7.5400
001044	2	2017-04-01	2017-06-30	5	600519	贵州茅台	276379.00	130409431.15	6.6600
001044	2	2017-04-01	2017-06-30	6	000895	双汇发展	4753036.00	112884605.00	5.7600
001044	2	2017-04-01	2017-06-30	7	002032	苏 泊 尔	2567145.00	105381302.25	5.3800
001044	2	2017-04-01	2017-06-30	8	603096	新经典	2305028.00	97687086.64	4.9900
001044	2	2017-04-01	2017-06-30	9	002572	索菲亚	2378260.00	97508660.00	4.9800
001044	2	2017-04-01	2017-06-30	10	600987	航民股份	5901847.00	76487937.12	3.9000
001044	3	2017-07-01	2017-09-30	1	000651	格力电器	4064200.00	154033180.00	8.9000
001044	3	2017-07-01	2017-09-30	2	000895	双汇发展	5933435.00	147742531.50	8.5300
001044	3	2017-07-01	2017-09-30	3	603096	新经典	2374628.00	142667650.24	8.2400
001044	3	2017-07-01	2017-09-30	4	600036	招商银行	4758400.00	121577120.00	7.0200
001044	3	2017-07-01	2017-09-30	5	000963	华东医药	2423684.00	118930173.88	6.8700
001044	3	2017-07-01	2017-09-30	6	000858	五 粮 液	1823907.00	104473392.96	6.0300
001044	3	2017-07-01	2017-09-30	7	002032	苏 泊 尔	2567145.00	97192109.70	5.6100
001044	3	2017-07-01	2017-09-30	8	002572	索菲亚	2378260.00	89898228.00	5.1900
001044	3	2017-07-01	2017-09-30	9	600987	航民股份	5962647.00	71313258.12	4.1200
001044	3	2017-07-01	2017-09-30	10	002048	宁波华翔	2429782.00	63490203.66	3.6700
001044	4	2017-10-01	2017-12-31	1	000651	格力电器	3666300.00	160217310.00	9.4300
001044	4	2017-10-01	2017-12-31	2	603096	新经典	2374628.00	159741225.56	9.4000
001044	4	2017-10-01	2017-12-31	3	000858	五 粮 液	1620007.00	129406159.16	7.6200
001044	4	2017-10-01	2017-12-31	4	000963	华东医药	2243499.00	120879726.12	7.1200
001044	4	2017-10-01	2017-12-31	5	600036	招商银行	3722700.00	108032754.00	6.3600
001044	4	2017-10-01	2017-12-31	6	002032	苏 泊 尔	2480645.00	100168445.10	5.9000
001044	4	2017-10-01	2017-12-31	7	002572	索菲亚	2498160.00	91932288.00	5.4100
001044	4	2017-10-01	2017-12-31	8	603900	莱绅通灵	3118412.00	90402763.88	5.3200
001044	4	2017-10-01	2017-12-31	9	002048	宁波华翔	3629453.00	84633920.99	4.9800
001044	4	2017-10-01	2017-12-31	10	000895	双汇发展	3065123.00	81225759.50	4.7800
001044	5	2018-01-01	2018-06-30	1	000651	格力电器	5774600.00	272272390.00	8.2100
001044	5	2018-01-01	2018-06-30	2	603096	新经典	2866416.00	240148332.48	7.2400
001044	5	2018-01-01	2018-06-30	3	600036	招商银行	6885939.00	182064227.16	5.4900
001044	5	2018-01-01	2018-06-30	4	300251	光线传媒	17576912.00	178932964.16	5.3900
001044	5	2018-01-01	2018-06-30	5	603345	安井食品	4961184.00	173641440.00	5.2300
001044	5	2018-01-01	2018-06-30	6	000538	云南白药	1616504.00	172901267.84	5.2100
001044	5	2018-01-01	2018-06-30	7	002032	苏 泊 尔	3273115.00	168565422.50	5.0800
001044	5	2018-01-01	2018-06-30	8	000963	华东医药	3493348.00	168554041.00	5.0800
001044	5	2018-01-01	2018-06-30	9	600062	华润双鹤	6186302.00	151873714.10	4.5800
001044	5	2018-01-01	2018-06-30	10	000858	五 粮 液	1866607.00	141862132.00	4.2800
001044	5	2018-01-01	2018-06-30	11	002920	德赛西威	3478542.00	104008405.80	3.1300
001044	5	2018-01-01	2018-06-30	12	600309	万华化学	2173538.00	98722095.96	2.9800
001044	5	2018-01-01	2018-06-30	13	600519	贵州茅台	134799.00	98600076.54	2.9700
001044	5	2018-01-01	2018-06-30	14	000895	双汇发展	3721582.00	98286980.62	2.9600
001044	5	2018-01-01	2018-06-30	15	002867	周大生	2612159.00	82256886.91	2.4800
001044	5	2018-01-01	2018-06-30	16	002572	索菲亚	2190260.00	70482566.80	2.1200
001044	5	2018-01-01	2018-06-30	17	600276	恒瑞医药	904288.00	68508858.88	2.0600
001044	5	2018-01-01	2018-06-30	18	603728	鸣志电器	3541170.00	55631780.70	1.6800
001044	5	2018-01-01	2018-06-30	19	600104	上汽集团	1535675.00	53733268.25	1.6200
001044	5	2018-01-01	2018-06-30	20	300406	九强生物	3382700.00	48710880.00	1.4700
001044	5	2018-01-01	2018-06-30	21	000786	北新建材	2374827.00	44005544.31	1.3300
001044	5	2018-01-01	2018-06-30	22	600867	通化东宝	1440897.00	34538301.09	1.0400
001044	5	2018-01-01	2018-06-30	23	002048	宁波华翔	2250379.00	26966819.55	.8100
001044	5	2018-01-01	2018-06-30	24	600664	哈药股份	3652900.00	14502013.00	.4400
001044	5	2018-01-01	2018-06-30	25	601633	长城汽车	31600.00	310312.00	.0100
001044	5	2018-01-01	2018-06-30	26	600025	华能水电	94713.00	287927.52	.0100
001044	5	2018-01-01	2018-06-30	27	600901	江苏租赁	24935.00	188757.95	.0100
001044	5	2018-01-01	2018-06-30	28	300747	锐科激光	1543.00	123995.48	.0000
001044	5	2018-01-01	2018-06-30	29	300741	华宝股份	2625.00	104422.50	.0000
001044	5	2018-01-01	2018-06-30	30	002929	润建通信	2152.00	87156.00	.0000
001044	5	2018-01-01	2018-06-30	31	601330	绿色动力	4971.00	81226.14	.0000
001044	5	2018-01-01	2018-06-30	32	300735	光弘科技	3764.00	71741.84	.0000
001044	5	2018-01-01	2018-06-30	33	002908	德生科技	1751.00	66975.75	.0000
001044	5	2018-01-01	2018-06-30	34	603650	彤程新材	2376.00	50988.96	.0000
001044	5	2018-01-01	2018-06-30	35	603693	江苏新能	5384.00	48456.00	.0000
001044	5	2018-01-01	2018-06-30	36	002927	泰永长征	1249.00	47774.25	.0000
001044	5	2018-01-01	2018-06-30	37	603680	今创集团	1443.00	43362.15	.0000
001044	5	2018-01-01	2018-06-30	38	002907	华森制药	1479.00	41515.53	.0000
001044	5	2018-01-01	2018-06-30	39	603080	新疆火炬	1187.00	40536.05	.0000
001044	5	2018-01-01	2018-06-30	40	002917	金奥博	1090.00	39774.10	.0000
