Nrr1	Clsdt	Nrrdaydt
NRI01	2018-04-01	.004100
NRI01	2018-04-02	.004100
NRI01	2018-04-03	.004100
NRI01	2018-04-04	.004100
NRI01	2018-04-05	.004100
NRI01	2018-04-06	.004100
NRI01	2018-04-07	.004100
NRI01	2018-04-08	.004100
NRI01	2018-04-09	.004100
NRI01	2018-04-10	.004100
NRI01	2018-04-11	.004100
NRI01	2018-04-12	.004100
NRI01	2018-04-13	.004100
NRI01	2018-04-14	.004100
NRI01	2018-04-15	.004100
NRI01	2018-04-16	.004100
NRI01	2018-04-17	.004100
NRI01	2018-04-18	.004100
NRI01	2018-04-19	.004100
NRI01	2018-04-20	.004100
NRI01	2018-04-21	.004100
NRI01	2018-04-22	.004100
NRI01	2018-04-23	.004100
NRI01	2018-04-24	.004100
NRI01	2018-04-25	.004100
NRI01	2018-04-26	.004100
NRI01	2018-04-27	.004100
NRI01	2018-04-28	.004100
NRI01	2018-04-29	.004100
NRI01	2018-04-30	.004100
NRI01	2018-05-01	.004100
NRI01	2018-05-02	.004100
NRI01	2018-05-03	.004100
NRI01	2018-05-04	.004100
NRI01	2018-05-05	.004100
NRI01	2018-05-06	.004100
NRI01	2018-05-07	.004100
NRI01	2018-05-08	.004100
NRI01	2018-05-09	.004100
NRI01	2018-05-10	.004100
NRI01	2018-05-11	.004100
NRI01	2018-05-12	.004100
NRI01	2018-05-13	.004100
NRI01	2018-05-14	.004100
NRI01	2018-05-15	.004100
NRI01	2018-05-16	.004100
NRI01	2018-05-17	.004100
NRI01	2018-05-18	.004100
NRI01	2018-05-19	.004100
NRI01	2018-05-20	.004100
NRI01	2018-05-21	.004100
NRI01	2018-05-22	.004100
NRI01	2018-05-23	.004100
NRI01	2018-05-24	.004100
NRI01	2018-05-25	.004100
NRI01	2018-05-26	.004100
NRI01	2018-05-27	.004100
NRI01	2018-05-28	.004100
NRI01	2018-05-29	.004100
NRI01	2018-05-30	.004100
NRI01	2018-05-31	.004100
NRI01	2018-06-01	.004100
NRI01	2018-06-02	.004100
NRI01	2018-06-03	.004100
NRI01	2018-06-04	.004100
NRI01	2018-06-05	.004100
NRI01	2018-06-06	.004100
NRI01	2018-06-07	.004100
NRI01	2018-06-08	.004100
NRI01	2018-06-09	.004100
NRI01	2018-06-10	.004100
NRI01	2018-06-11	.004100
NRI01	2018-06-12	.004100
NRI01	2018-06-13	.004100
NRI01	2018-06-14	.004100
NRI01	2018-06-15	.004100
NRI01	2018-06-16	.004100
NRI01	2018-06-17	.004100
NRI01	2018-06-18	.004100
NRI01	2018-06-19	.004100
NRI01	2018-06-20	.004100
NRI01	2018-06-21	.004100
NRI01	2018-06-22	.004100
NRI01	2018-06-23	.004100
NRI01	2018-06-24	.004100
NRI01	2018-06-25	.004100
NRI01	2018-06-26	.004100
NRI01	2018-06-27	.004100
NRI01	2018-06-28	.004100
NRI01	2018-06-29	.004100
NRI01	2018-06-30	.004100
