Stkcd	Trddt	Dretnd
000333	2018-04-02	-.030992
000333	2018-04-03	-.006056
000333	2018-04-04	.009330
000333	2018-04-09	-.032258
000333	2018-04-10	.028655
000333	2018-04-11	.003980
000333	2018-04-12	-.020951
000333	2018-04-13	-.010603
000333	2018-04-16	-.029813
000333	2018-04-17	.002008
000333	2018-04-18	-.023251
000333	2018-04-19	.058280
000333	2018-04-20	-.003296
000333	2018-04-23	.012646
000333	2018-04-24	.028818
000333	2018-04-25	-.017367
000333	2018-04-26	-.023185
000333	2018-04-27	.005447
000333	2018-05-02	-.006385
000333	2018-05-03	.036027
000333	2018-05-04	-.039474
000333	2018-05-07	.025440
000333	2018-05-08	.028626
000333	2018-05-09	.000928
000333	2018-05-10	.007970
000333	2018-05-11	-.011585
000333	2018-05-14	.027721
000333	2018-05-15	-.000362
000333	2018-05-16	-.014850
000333	2018-05-17	-.023529
000333	2018-05-18	.014495
000333	2018-05-21	.001113
000333	2018-05-22	-.024467
000333	2018-05-23	-.015770
000333	2018-05-24	-.017375
000333	2018-05-25	-.006090
000333	2018-05-28	.026685
000333	2018-05-29	-.008664
000333	2018-05-30	-.015149
000333	2018-05-31	.043384
000333	2018-06-01	-.014364
000333	2018-06-04	.035283
000333	2018-06-05	.018152
000333	2018-06-06	-.004184
000333	2018-06-07	-.008038
000333	2018-06-08	.006630
000333	2018-06-11	.030370
000333	2018-06-12	.015447
000333	2018-06-13	-.003497
000333	2018-06-14	-.021232
000333	2018-06-15	.008964
000333	2018-06-19	-.029495
000333	2018-06-20	.009886
000333	2018-06-21	-.017041
000333	2018-06-22	-.010513
000333	2018-06-25	-.013979
000333	2018-06-26	-.010775
000333	2018-06-27	-.035353
000333	2018-06-28	-.007528
000333	2018-06-29	.042315
000538	2018-04-02	-.032828
000538	2018-04-03	.010653
000538	2018-04-04	-.009197
000538	2018-04-09	.003129
000538	2018-04-10	.020586
000538	2018-04-11	.005501
000538	2018-04-12	-.012361
000538	2018-04-13	-.012926
000538	2018-04-16	-.014238
000538	2018-04-17	.000527
000538	2018-04-18	-.016122
000538	2018-04-19	.007497
000538	2018-04-20	.003508
000538	2018-04-23	-.000530
000538	2018-04-24	.005087
000538	2018-04-25	.000633
000538	2018-04-26	.000000
000538	2018-04-27	-.001475
000538	2018-05-02	.035462
000538	2018-05-03	.014066
000538	2018-05-04	-.004021
000538	2018-05-07	.100010
000538	2018-05-08	.001927
000538	2018-05-09	-.017398
000538	2018-05-10	.007175
000538	2018-05-11	-.028590
000538	2018-05-14	.012858
000538	2018-05-15	.025484
000538	2018-05-16	.020174
000538	2018-05-17	-.001258
000538	2018-05-18	-.000090
000538	2018-05-21	-.002250
000538	2018-05-22	.022192
000538	2018-05-23	.024181
000538	2018-05-24	.000517
000538	2018-05-25	.007321
000538	2018-05-28	.012739
000538	2018-05-29	-.071085
000538	2018-05-30	-.015996
000538	2018-05-31	.053847
000538	2018-06-01	-.034969
000538	2018-06-04	.006721
000538	2018-06-05	.011096
000538	2018-06-06	-.005353
000538	2018-06-07	-.026642
000538	2018-06-08	-.000922
000538	2018-06-11	-.009316
000538	2018-06-12	.016294
000538	2018-06-13	-.021805
000538	2018-06-14	-.004964
000538	2018-06-15	-.006965
000538	2018-06-19	-.021137
000538	2018-06-20	.025370
000538	2018-06-21	-.006800
000538	2018-06-22	.005610
000538	2018-06-25	.012670
000538	2018-06-26	-.007470
000538	2018-06-27	-.021355
000538	2018-06-28	-.004230
000538	2018-06-29	.032532
000568	2018-04-02	.021498
000568	2018-04-03	.028636
000568	2018-04-04	.018112
000568	2018-04-09	.010377
000568	2018-04-10	.003587
000568	2018-04-11	-.006498
000568	2018-04-12	.011936
000568	2018-04-13	-.023913
000568	2018-04-16	.015891
000568	2018-04-17	-.026071
000568	2018-04-18	-.022252
000568	2018-04-19	.038330
000568	2018-04-20	-.003131
000568	2018-04-23	-.018846
000568	2018-04-24	.055939
000568	2018-04-25	.001915
000568	2018-04-26	-.042363
000568	2018-04-27	.001663
000568	2018-05-02	-.011954
000568	2018-05-03	.015796
000568	2018-05-04	.002812
000568	2018-05-07	.060706
000568	2018-05-08	.003266
000568	2018-05-09	.014571
000568	2018-05-10	.009167
000568	2018-05-11	-.017411
000568	2018-05-14	.032049
000568	2018-05-15	-.007166
000568	2018-05-16	.006015
000568	2018-05-17	-.029297
000568	2018-05-18	.015553
000568	2018-05-21	-.001213
000568	2018-05-22	.015030
000568	2018-05-23	-.028866
000568	2018-05-24	-.004312
000568	2018-05-25	.021655
000568	2018-05-28	.036336
000568	2018-05-29	-.014463
000568	2018-05-30	-.003558
000568	2018-05-31	.027968
000568	2018-06-01	-.020550
000568	2018-06-04	.027482
000568	2018-06-05	.003883
000568	2018-06-06	-.007592
000568	2018-06-07	-.017032
000568	2018-06-08	.002790
000568	2018-06-11	-.002489
000568	2018-06-12	.027598
000568	2018-06-13	-.005000
000568	2018-06-14	-.035319
000568	2018-06-15	.000595
000568	2018-06-19	-.028856
000568	2018-06-20	.025731
